,,vizCHNWIR,bool,,Chain/Wire,,,,,,,,,,,
,,vizCHKPNT,bool,,Checkpoint,,,,,,,,,,,
,,vizCGUSTA,bool,,Coastguard station,,,,,,,,,,,
,,vizCOALNE,bool,,Coastline,,,,,,,,,,,
,,vizCONZNE,bool,,Contiguous zone,,,,,,,,,,,
,,vizCOSARE,bool,,Continental shelf area,,,,,,,,,,,
,,vizCTRPNT,bool,,Control point,,,,,,,,,,,
,,vizCONVYR,bool,,Conveyor,,,,,,,,,,,
,,vizCRANES,bool,,Crane,,,,,,,,,,,
,,vizCURENT,bool,,Current - non - gravitational,,,,,,,,,,,
,,vizCUSZNE,bool,,Custom zone,,,,,,,,,,,
,,vizDAMCON,bool,,Dam,,,,,,,,,,,
,,vizDAYMAR,bool,,Daymark,,,,,,,,,,,
,,vizDWRTCL,bool,,Deep water route centerline,,,,,,,,,,,
,,vizDWRTPT,bool,,Deep water route part,,,,,,,,,,,
,,vizDEPARE,bool,,Depth area,,,,,,,,,,,
,,vizDEPCNT,bool,,Depth contour,,,,,,,,,,,
,,vizDISMAR,bool,,Distance mark,,,,,,,,,,,
,,vizDOCARE,bool,,Dock area,,,,,,,,,,,
,,vizDRGARE,bool,,Dredged area,,,,,,,,,,,
,,vizDRYDOC,bool,,Dry dock,,,,,,,,,,,
,,vizDMPGRD,bool,,Dumping ground,,,,,,,,,,,
,,vizDYKCON,bool,,Dyke,,,,,,,,,,,
,,vizEXEZNE,bool,,Exclusive Economic Zone,,,,,,,,,,,
,,vizFAIRWY,bool,,Fairway,,,,,,,,,,,
,,vizFNCLNE,bool,,Fence/wall,,,,,,,,,,,
,,vizFERYRT,bool,,Ferry route,,,,,,,,,,,
,,vizFSHZNE,bool,,Fishery zone,,,,,,,,,,,
,,vizFSHFAC,bool,,Fishing facility,,,,,,,,,,,
,,vizFSHGRD,bool,,Fishing ground,,,,,,,,,,,
,,vizFLODOC,bool,,Floating dock,,,,,,,,,,,
,,vizFOGSIG,bool,,Fog signal,,,,,,,,,,,
,,vizFORSTC,bool,,Fortified structure,,,,,,,,,,,
,,vizFRPARE,bool,,Free port area,,,,,,,,,,,
,,vizGATCON,bool,,Gate,,,,,,,,,,,
,,vizGRIDRN,bool,,Gridiron,,,,,,,,,,,
,,vizHRBARE,bool,,Harbour area (administrative),,,,,,,,,,,
,,vizHRBFAC,bool,,Harbour facility,,,,,,,,,,,
,,vizHULKES,bool,,Hulk,,,,,,,,,,,
,,vizICEARE,bool,,Ice area,,,,,,,,,,,
,,vizICNARE,bool,,Incineration area,,,,,,,,,,,
,,vizISTZNE,bool,,Inshore traffic zone,,,,,,,,,,,
,,vizLAKARE,bool,,Lake,,,,,,,,,,,
,,vizLAKSHR,bool,,Lake shore,,,,,,,,,,,
,,vizLNDARE,bool,,Land area,,,,,,,,,,,
,,vizLNDELV,bool,,Land elevation,,,,,,,,,,,
,,vizLNDRGN,bool,,Land region,,,,,,,,,,,
,,vizLNDMRK,bool,,Landmark,,,,,,,,,,,
,,vizLIGHTS,bool,,Light,,,,,,,,,,,
,,viz_extgn,bool,,"Light, extinguished",,,,,,,,,,,
,,vizLITFLT,bool,,Light float,,,,,,,,,,,
,,vizLITVES,bool,,Light vessel,,,,,,,,,,,
,,vizLOCMAG,bool,,Local magnetic anomaly,,,,,,,,,,,
,,vizLOKBSN,bool,,Lock basin,,,,,,,,,,,
,,vizLOGPON,bool,,Log pond,,,,,,,,,,,
,,vizMAGVAR,bool,,Magnetic variation,,,,,,,,,,,
,,vizMARCUL,bool,,Marine farm/culture,,,,,,,,,,,
,,vizMIPARE,bool,,Military practice area,,,,,,,,,,,
,,vizMONUMT,bool,,Monument,,,,,,,,,,,
,,vizMORFAC,bool,,Mooring/warping facility,,,,,,,,,,,
,,vizNAVLNE,bool,,Navigation line,,,,,,,,,,,
,,vizOBSTRN,bool,,Obstruction,,,,,,,,,,,
,,vizOFSPLF,bool,,Offshore platform,,,,,,,,,,,
,,vizOSPARE,bool,,Offshore production area,,,,,,,,,,,
,,vizOILBAR,bool,,Oil barrier,,,,,,,,,,,
,,vizPILPNT,bool,,Pile,,,,,,,,,,,
,,vizPILBOP,bool,,Pilot boarding place,,,,,,,,,,,
,,vizPIPARE,bool,,Pipeline area,,,,,,,,,,,
,,vizPIPOHD,bool,,"Pipeline, overhead",,,,,,,,,,,
,,vizPIPSOL,bool,,"Pipeline, submarine/on land",,,,,,,,,,,
,,vizPONTON,bool,,Pontoon,,,,,,,,,,,
,,vizPRCARE,bool,,Precautionary area,,,,,,,,,,,
,,vizPRDARE,bool,,Production / storage area,,,,,,,,,,,
,,vizPYLONS,bool,,Pylon/bridge support,,,,,,,,,,,
,,vizRADLNE,bool,,Radar line,,,,,,,,,,,
,,vizRADRNG,bool,,Radar range,,,,,,,,,,,
,,vizRADRFL,bool,,Radar reflector,,,,,,,,,,,
,,vizRADSTA,bool,,Radar station,,,,,,,,,,,
,,vizRTPBCN,bool,,Radar transponder beacon,,,,,,,,,,,
,,vizRDOCAL,bool,,Radio calling-in point,,,,,,,,,,,
,,vizRDOSTA,bool,,Radio station,,,,,,,,,,,
,,vizRAILWY,bool,,Railway,,,,,,,,,,,
,,vizRAPIDS,bool,,Rapids,,,,,,,,,,,
,,vizRCRTCL,bool,,Recommended route centerline,,,,,,,,,,,
,,vizRECTRC,bool,,Recommended track,,,,,,,,,,,
,,vizRCTLPT,bool,,Recommended Traffic Lane Part,,,,,,,,,,,
,,vizRSCSTA,bool,,Rescue station,,,,,,,,,,,
,,vizRESARE,bool,,Restricted area,,,,,,,,,,,
,,vizRETRFL,bool,,Retro-reflector,,,,,,,,,,,
,,vizRIVERS,bool,,River,,,,,,,,,,,
,,vizRIVBNK,bool,,River bank,,,,,,,,,,,
,,vizROADWY,bool,,Road,,,,,,,,,,,
,,vizRUNWAY,bool,,Runway,,,,,,,,,,,
,,vizSNDWAV,bool,,Sand waves,,,,,,,,,,,
,,vizSEAARE,bool,,Sea area / named water area,,,,,,,,,,,
,,vizSPLARE,bool,,Sea-plane landing area,,,,,,,,,,,
,,vizSBDARE,bool,,Seabed area,,,,,,,,,,,
,,vizSLCONS,bool,,Shoreline Construction,,,,,,,,,,,
,,vizSISTAT,bool,,"Signal station, traffic",,,,,,,,,,,
,,vizSISTAW,bool,,"Signal station, warning",,,,,,,,,,,
,,vizSILTNK,bool,,Silo / tank,,,,,,,,,,,
,,vizSLOTOP,bool,,Slope topline,,,,,,,,,,,
,,vizSLOGRD,bool,,Sloping ground,,,,,,,,,,,
,,vizSMCFAC,bool,,Small craft facility,,,,,,,,,,,
,,vizSOUNDG,bool,,Sounding,,,,,,,,,,,
,,vizSPRING,bool,,Spring,,,,,,,,,,,
,,vizSQUARE,bool,,Square,,,,,,,,,,,
,,vizSTSLNE,bool,,Straight territorial sea baseline,,,,,,,,,,,
,,vizSUBTLN,bool,,Submarine transit lane,,,,,,,,,,,
,,vizSWPARE,bool,,Swept Area,,,,,,,,,,,
,,vizTESARE,bool,,Territorial sea area,,,,,,,,,,,
,,viz_texto,bool,,Text,,,,,,,,,,,
,,vizTS_PRH,bool,,Tidal stream - harmonic prediction,,,,,,,,,,,
,,vizTS_PNH,bool,,Tidal stream - non-harmonic prediction,,,,,,,,,,,
,,vizTS_PAD,bool,,Tidal stream panel data,,,,,,,,,,,
,,vizTS_TIS,bool,,Tidal stream - time series,,,,,,,,,,,
,,vizT_HMON,bool,,Tide - harmonic prediction,,,,,,,,,,,
,,vizT_NHMN,bool,,Tide - non-harmonic prediction,,,,,,,,,,,
,,vizT_TIMS,bool,,Tidal stream - time series,,,,,,,,,,,
,,vizTIDEWY,bool,,Tideway,,,,,,,,,,,
,,vizTOPMAR,bool,,Topmark,,,,,,,,,,,
,,vizTOWERS,bool,,Tower,,,,,,,,,,,
,,vizTSELNE,bool,,Traffic Separation Line,,,,,,,,,,,
,,vizTSSBND,bool,,Traffic Separation Scheme  Boundary,,,,,,,,,,,
,,vizTSSCRS,bool,,Traffic Separation Scheme Crossing,,,,,,,,,,,
,,vizTSSLPT,bool,,Traffic Separation Scheme  Lane part,,,,,,,,,,,
,,vizTSSRON,bool,,Traffic Separation Scheme  Roundabout,,,,,,,,,,,
,,vizTSEZNE,bool,,Traffic Separation Zone,,,,,,,,,,,
,,vizTUNNEL,bool,,Tunnel,,,,,,,,,,,
,,vizTWRTPT,bool,,Two-way route  part,,,,,,,,,,,
,,vizUWTROC,bool,,Underwater rock / awash rock,,,,,,,,,,,
,,vizUNSARE,bool,,Unsurveyed area,,,,,,,,,,,
,,vizVEGATN,bool,,Vegetation,,,,,,,,,,,
,,vizWATTUR,bool,,Water turbulence,,,,,,,,,,,
,,vizWATFAL,bool,,Waterfall,,,,,,,,,,,
,,vizWEDKLP,bool,,Weed/Kelp,,,,,,,,,,,
,,vizWRECKS,bool,,Wreck,,,,,,,,,,,
,,vizZEMCNT,bool,,Zero meter contour,,,,,,,,,,,
,,vizTS_FEB,bool,,Tidal stream - flood/ebb,,,,,,,,,,,
,,vizNEWOBJ,bool,,New Object,,,,,,,,,,,
,,vizM_ACCY,bool,,Accuracy of data,,,,,,,,,,,
,,vizM_CSCL,bool,,Compilation scale of data,,,,,,,,,,,
,,vizM_COVR,bool,,Coverage,,,,,,,,,,,
